Company,ISIN
Toyota Motor Corp,JP3633400001
Mitsubishi UFJ Financial Group Inc,JP3902900004
Sony Group Corp,JP3435000009
Hitachi Ltd,JP3788600009
Recruit Holdings Co Ltd,JP3970300004
Keyence Corp,JP3236200006
Sumitomo Mitsui Financial Group Inc,JP3890350006
Fast Retailing Co Ltd,JP3802300008
Nintendo Co Ltd,JP3756600007
SoftBank Group Corp,JP3436100006
Nippon Telegraph and Telephone Corp,JP3735400008
Chugai Pharmaceutical Co Ltd,JP3519400000
Tokyo Electron Ltd,JP3571400005
Mizuho Financial Group Inc,JP3885780001
KDDI Corp,JP3496400007
SoftBank Corp,JP3732000009
Tokio Marine Holdings Inc,JP3910660004
Itochu Corp,JP3143600009
Mitsubishi Corp,JP3898400001
Shin-Etsu Chemical Co Ltd,JP3371200001
Mitsui & Co Ltd,JP3893600001
Japan Tobacco Inc,JP3726800000
Advantest Corp,JP3122400009
Honda Motor Co Ltd,JP3854600008
Mitsubishi Heavy Industries Ltd,JP3900000005
Canon Inc,JP3242800005
Takeda Pharmaceutical Co Ltd,JP3463000004
Daiichi Sankyo Co Ltd,JP3475350009
Seven & i Holdings Co Ltd,JP3422950000
Fujitsu Ltd,JP3818000006
Hoya Corp,JP3837800006
Denso Corp,JP3551500006
Japan Post Bank Co Ltd,JP3946750001
Oriental Land Co Ltd,JP3198900007
Murata Manufacturing Co Ltd,JP3914400001
Renesas Electronics Corp,JP3164720009
Japan Post Holdings Co Ltd,JP3752900005
Mitsubishi Electric Corp,JP3902400005
Disco Corp,JP3548600000
MS&AD Insurance Group Holdings Inc,JP3890310000
Daikin Industries Ltd,JP3481800005
Panasonic Holdings Corp,JP3866800000
Fanuc Corp,JP3802400006
Komatsu Ltd,JP3304200003
Sompo Holdings Inc,JP3165000005
Dai-ichi Life Holdings Inc,JP3476480003
Bridgestone Corp,JP3830800003
NTT Data Group Corp,JP3165700000
Toyota Industries Corp,JP3634600005
NEC Corp,JP3733000008
Otsuka Holdings Co Ltd,JP3188220002
Terumo Corp,JP3546800008
Sumitomo Corp,JP3404600003
Marubeni Corp,JP3877600001
SMC Corp,JP3162600005
Fujifilm Holdings Corp,JP3814000000
Suzuki Motor Corp,JP3397200001
Nippon Steel Corp,JP3381000003
ORIX Corp,JP3200450009
LY Corp,JP3933800009
Mitsui Fudosan Co Ltd,JP3893200000
Nidec Corp,JP3734800000
Bandai Namco Holdings Inc,JP3778630008
Daiwa House Industry Co Ltd,JP3505000004
TDK Corp,JP3538800008
East Japan Railway Co,JP3783600004
Aeon Co Ltd,JP3388200002
Nomura Holdings Inc,JP3762600009
Nomura Research Institute Ltd,JP3762800005
Kao Corp,JP3205800000
Ajinomoto Co Inc,JP3119600009
Central Japan Railway Co,JP3566800003
Resona Holdings Inc,JP3500610005
Sumitomo Mitsui Trust Group Inc,JP3892100003
Mitsubishi Estate Co Ltd,JP3899600005
Konami Group Corp,JP3300200007
Asics Corp,JP3118000003
Asahi Group Holdings Ltd,JP3116000005
Astellas Pharma Inc,JP3942400007
Kyocera Corp,JP3249600002
Pan Pacific International Holdings Corp,JP3639650005
Toyota Tsusho Corp,JP3635000007
ENEOS Holdings Inc,JP3386450005
Nippon Paint Holdings Co Ltd,JP3749400002
Sumitomo Realty & Development Co Ltd,JP3409000001
Inpex Corp,JP3294460005
Nippon Yusen KK,JP3753000003
Secom Co Ltd,JP3421800008
Olympus Corp,JP3201200007
Kubota Corp,JP3266400005
Sekisui House Ltd,JP3420600003
Obic Co Ltd,JP3173400007
Capcom Co Ltd,JP3218900003
Sumitomo Electric Industries Ltd,JP3407400005
Rakuten Group Inc,JP3967200001
Nitto Denko Corp,JP3684000007
Unicharm Corp,JP3951600000
Shionogi & Co Ltd,JP3347200002
Subaru Corp,JP3814800003
Mitsui O.S.K. Lines Ltd,JP3362700001
Fujikura Ltd,JP3811000003
Nippon Sanso Holdings Corp,JP3711600001
Kansai Electric Power Co Inc,JP3228600007
Oracle Corp Japan,JP3689500001
Kirin Holdings Co Ltd,JP3258000003
Tokyo Gas Co Ltd,JP3573000001
Nitori Holdings Co Ltd,JP3756100008
Sanrio Co Ltd,JP3343200006
Shimano Inc,JP3358000002
Nexon Co Ltd,JP3758190007
T&D Holdings Inc,JP3539220008
Sysmex Corp,JP3351100007
Nissan Motor Co Ltd,JP3672400003
Kajima Corp,JP3210200006
Daiwa Securities Group Inc,JP3502200003
Hikari Tsushin Inc,JP3783420007
Japan Exchange Group Inc,JP3183200009
Toray Industries Inc,JP3621000003
Trend Micro Inc,JP3637300009
Daifuku Co Ltd,JP3497400006
Isuzu Motors Ltd,JP3137200006
Mitsubishi HC Capital Inc,JP3499800005
TOPPAN Holdings Inc,JP3629000005
Obayashi Corp,JP3190000004
Suntory Beverage & Food Ltd,JP3336560002
Idemitsu Kosan Co Ltd,JP3142500002
ZOZO Inc,JP3399310006
Lasertec Corp,JP3979200007
Kawasaki Kisen Kaisha Ltd,JP3223800008
Aisin Corp,JP3102000001
IHI Corp,JP3134800006
ANA Holdings Inc,JP3429800000
Asahi Kasei Corp,JP3111200006
West Japan Railway Co,JP3659000008
Kikkoman Corp,JP3240400006
Osaka Gas Co Ltd,JP3180400008
M3 Inc,JP3435750009
SBI Holdings Inc,JP3436120004
Makita Corp,JP3862400003
Toho Co Ltd (Tokyo),JP3598600009
Otsuka Corp,JP3188200004
Kawasaki Heavy Industries Ltd,JP3224200000
MonotaRO Co Ltd,JP3922950005
Yamaha Motor Co Ltd,JP3942800008
Taisei Corp,JP3443600006
Kioxia Holdings Corp,JP3236330001
Eisai Co Ltd,JP3160400002
Zensho Holdings Co Ltd,JP3429300001
Dai Nippon Printing Co Ltd,JP3493800001
Ebara Corp,JP3166000004
Screen Holdings Co Ltd,JP3494600004
Chubu Electric Power Co Inc,JP3526600006
SCSK Corp,JP3400400002
Yaskawa Electric Corp,JP3932000007
Shimadzu Corp,JP3357200009
Ryohin Keikaku Co Ltd,JP3976300008
Japan Airlines Co Ltd,JP3705200008
JFE Holdings Inc,JP3386030005
Mitsubishi Chemical Group Corp,JP3897700005
Sanwa Holdings Corp,JP3344400001
Chiba Bank Ltd,JP3511800009
Sekisui Chemical Co Ltd,JP3419400001
Japan Post Insurance Co Ltd,JP3233250004
Concordia Financial Group Ltd,JP3305990008
Kyowa Kirin Co Ltd,JP3256000005
Shiseido Co Ltd,JP3351600006
Daito Trust Construction Co Ltd,JP3486800000
Hulic Co Ltd,JP3360800001
Tokyu Corp,JP3574200006
Tokyo Metro Co Ltd,JP3583900000
BayCurrent Inc,JP3835250006
Rakuten Bank Ltd,JP3967220009
Fuji Electric Co Ltd,JP3820000002
Shimizu Corp,JP3358800005
Yakult Honsha Co Ltd,JP3931600005
Toyo Suisan Kaisha Ltd,JP3613000003
Minebea Mitsumi Inc,JP3906000009
Seibu Holdings Inc,JP3417200007
Sumitomo Metal Mining Co Ltd,JP3402600005
AGC Inc,JP3112000009
MatsukiyoCocokara & Co,JP3869010003
Omron Corp,JP3197800000
Seiko Epson Corp,JP3414750004
SG Holdings Co Ltd,JP3162770006
Sumitomo Forestry Co Ltd,JP3409800004
Shizuoka Financial Group Inc,JP3351500008
Hankyu Hanshin Holdings Inc,JP3774200004
TIS Inc,JP3104890003
Niterra Co Ltd,JP3738600000
Nissin Foods Holdings Co Ltd,JP3675600005
Ricoh Co Ltd,JP3973400009
Kobe Bussan Co Ltd,JP3291200008
Isetan Mitsukoshi Holdings Ltd,JP3894900004
Square Enix Holdings Co Ltd,JP3164630000
Kokusai Electric Corp,JP3293330001
Hoshizaki Corp,JP3845770001
Hitachi Construction Machinery Co Ltd,JP3787000003
Meiji Holdings Co Ltd,JP3918000005
Dentsu Group Inc,JP3551520004
Misumi Group Inc,JP3885400006
Shinko Electric Industries Co Ltd,JP3375800004
Ono Pharmaceutical Co Ltd,JP3197600004
Fukuoka Financial Group Inc,JP3805010000
Yokogawa Electric Corp,JP3955000009
Keisei Electric Railway Co Ltd,JP3278600006
NS Solutions Corp,JP3379900008
Nomura Real Estate Holdings Inc,JP3762900003
Nippon Television Holdings Inc,JP3732200005
ABC-Mart Inc,JP3152740001
Sojitz Corp,JP3663900003
USS Co Ltd,JP3944130008
Yamato Holdings Co Ltd,JP3940000007
Asahi Intecc Co Ltd,JP3110650003
TOTO Ltd,JP3596200000
Brother Industries Ltd,JP3830000000
TBS Holdings Inc,JP3588600001
Tokyu Fudosan Holdings Corp,JP3569200003
Sega Sammy Holdings Inc,JP3419050004
Kobe Steel Ltd,JP3289800009
Nippon Express Holdings Inc,JP3688370000
Tokyo Century Corp,JP3424950008
Koei Tecmo Holdings Co Ltd,JP3283460008
Mitsui Chemicals Inc,JP3888300005
Tosoh Corp,JP3595200001
Credit Saison Co Ltd,JP3271400008
Rohm Co Ltd,JP3982800009
Fuji Soft Inc,JP3816600005
Hirose Electric Co Ltd,JP3799000009
Shimamura Co Ltd,JP3358200008
Azbil Corp,JP3937200008
Kinden Corp,JP3263000006
Resonac Holdings Corp,JP3368000000
Kyoto Financial Group Inc,JP3252200005
Mazda Motor Corp,JP3868400007
Open House Group Co Ltd,JP3173540000
Tokyo Electric Power Company Holdings Inc,JP3585800000
Oji Holdings Corp,JP3174410005
Kintetsu Group Holdings Co Ltd,JP3260800002
Fuji Media Holdings Inc,JP3819400007
Sharp Corp,JP3359600008
Iida Group Holdings Co Ltd,JP3131090007
Mebuki Financial Group Inc,JP3117700009
GMO Payment Gateway Inc,JP3385890003
Mitsubishi Motors Corp,JP3899800001
Yamazaki Baking Co Ltd,JP3935600001
Nissan Chemical Corp,JP3670800006
Kuraray Co Ltd,JP3269600007
Cosmo Energy Holdings Co Ltd,JP3298000005
Acom Co Ltd,JP3108600002
Kyushu Electric Power Co Inc,JP3246400000
Sapporo Holdings Ltd,JP3320800000
Koito Manufacturing Co Ltd,JP3284600008
Haseko Corp,JP3768600003
CyberAgent Inc,JP3311400000
Yamaha Corp,JP3942600002
Sumitomo Chemical Co Ltd,JP3401400001
Yokohama Rubber Co Ltd,JP3955800002
Kurita Water Industries Ltd,JP3270000007
Skylark Holdings Co Ltd,JP3396210001
Cosmos Pharmaceutical Corp,JP3298400007
Kyushu Railway Co,JP3247010006
Sankyo Co Ltd,JP3326410002
Obic Business Consultants Co Ltd,JP3173500004
Canon Marketing Japan Inc,JP3243600008
NGK Insulators Ltd,JP3695200000
Hamamatsu Photonics KK,JP3771800004
Sohgo Security Services Co Ltd,JP3431900004
Kadokawa Corp,JP3214350005
Kandenko Co Ltd,JP3230600003
Rohto Pharmaceutical Co Ltd,JP3982400008
