Date,Company,ISIN,Ri (%),Rf (%),Size,Value,ESG Score,ESGC Score
1/31/20,Industrial and Commercial Bank of China Ltd,CNE000001P37,,1.55,,,,
1/31/20,Kweichow Moutai Co Ltd,CNE0000018R8,,1.55,,,,
1/31/20,Agricultural Bank of China Ltd,CNE100000RJ0,,1.55,,,,
1/31/20,Bank of China Ltd,CNE000001N05,,1.55,,,,
1/31/20,China Construction Bank Corp,CNE100000742,,1.55,,,,
1/31/20,PetroChina Co Ltd,CNE1000007Q1,,1.55,,,,
1/31/20,BYD Co Ltd,CNE100001526,,1.55,,,,
1/31/20,China Merchants Bank Co Ltd,CNE000001B33,,1.55,,,,
1/31/20,China Life Insurance Co Ltd,CNE000001Q93,,1.55,,,,
1/31/20,Ping An Insurance Group Co of China Ltd,CNE000001R84,,1.55,,,,
1/31/20,China Shenhua Energy Co Ltd,CNE100000767,,1.55,,,,
1/31/20,China Yangtze Power Co Ltd,CNE000001G87,,1.55,,,,
1/31/20,China Petroleum & Chemical Corp,CNE0000018G1,,1.55,,,,
1/31/20,Midea Group Co Ltd,CNE100001QQ5,,1.55,,,,
1/31/20,Wuliangye Yibin Co Ltd,CNE000000VQ8,,1.55,,,,
1/31/20,Bank of Communications Co Ltd,CNE1000000S2,,1.55,,,,
1/31/20,Foxconn Industrial Internet Co Ltd,CNE1000031P3,,1.55,,,,
1/31/20,Industrial Bank Co Ltd,CNE000001QZ7,,1.55,,,,
1/31/20,Zijin Mining Group Co Ltd,CNE100000B24,,1.55,,,,
1/31/20,CITIC Securities Co Ltd,CNE000001DB6,,1.55,,,,
1/31/20,East Money Information Co Ltd,CNE100000MD4,,1.55,,,,
1/31/20,China Citic Bank Corp Ltd,CNE1000000R4,,1.55,,,,
1/31/20,Luxshare Precision Industry Co Ltd,CNE100000TP3,,1.55,,,,
1/31/20,Jiangsu Hengrui Pharmaceuticals Co Ltd,CNE0000014W7,,1.55,,,,
1/31/20,Shanghai Pudong Development Bank Co Ltd,CNE0000011B7,,1.55,,,,
1/31/20,Hangzhou Hikvision Digital Technology Co Ltd,CNE100000PM8,,1.55,,,,
1/31/20,China Pacific Insurance Group Co Ltd,CNE1000008M8,,1.55,,,,
1/31/20,People's Insurance Company Group of China Ltd,CNE100003F27,,1.55,,,,
1/31/20,Shanxi Xinghuacun Fen Wine Factory Co Ltd,CNE000000DH5,,1.55,,,,
1/31/20,Haier Smart Home Co Ltd,CNE000000CG9,,1.55,,,,
1/31/20,Gree Electric Appliances Inc of Zhuhai,CNE0000001D4,,1.55,,,,
1/31/20,Foshan Haitian Flavouring and Food Co Ltd,CNE100001SL2,,1.55,,,,
1/31/20,China State Construction Engineering Corp Ltd,CNE100000F46,,1.55,,,,
1/31/20,Ping An Bank Co Ltd,CNE000000040,,1.55,,,,
1/31/20,China United Network Communications Ltd,CNE000001CS2,,1.55,,,,
1/31/20,Wanhua Chemical Group Co Ltd,CNE0000016J9,,1.55,,,,
1/31/20,COSCO Shipping Holdings Co Ltd,CNE100000601,,1.55,,,,
1/31/20,China Everbright Bank Co Ltd,CNE100000SL4,,1.55,,,,
1/31/20,China National Nuclear Power Co Ltd,CNE1000022N7,,1.55,,,,
1/31/20,Crrc Corp Ltd,CNE100000CP9,,1.55,,,,
1/31/20,Muyuan Foods Co Ltd,CNE100001RQ3,,1.55,,,,
1/31/20,SAIC Motor Corp Ltd,CNE000000TY6,,1.55,,,,
1/31/20,ZTE Corp,CNE000000TK5,,1.55,,,,
1/31/20,S.F. Holding Co Ltd,CNE100000L63,,1.55,,,,
1/31/20,Shenzhen Inovance Technology Co Ltd,CNE100000V46,,1.55,,,,
1/31/20,Shaanxi Coal Industry Co Ltd,CNE100001T64,,1.55,,,,
1/31/20,NARI Technology Co Ltd,CNE000001G38,,1.55,,,,
1/31/20,Great Wall Motor Co Ltd,CNE1000018V8,,1.55,,,,
1/31/20,Will Semiconductor Co Ltd Shanghai,CNE100002XM8,,1.55,,,,
1/31/20,WuXi AppTec Co Ltd,CNE1000031K4,,1.55,,,,
1/31/20,Luzhou Laojiao Co Ltd,CNE000000GF2,,1.55,,,,
