Date,Company,ISIN,Rf (%)
2020-01-31,Tencent Holdings Ltd,KYG875721634,1.55
2020-01-31,Industrial and Commercial Bank of China Ltd,CNE1000003G1,1.55
2020-01-31,China Mobile Ltd,HK0941009539,1.55
2020-01-31,Bank of China Ltd,CNE1000001Z5,1.55
2020-01-31,China Construction Bank Corp,CNE1000002H1,1.55
2020-01-31,HSBC Holdings PLC,GB0005405286,1.55
2020-01-31,PetroChina Co Ltd,CNE1000003W8,1.55
2020-01-31,China Life Insurance Co Ltd,CNE1000002L3,1.55
2020-01-31,Ping An Insurance Group Co of China Ltd,CNE1000003X6,1.55
2020-01-31,CNOOC Ltd,HK0883013259,1.55
2020-01-31,China Petroleum & Chemical Corp,CNE1000002Q2,1.55
2020-01-31,AIA Group Ltd,HK0000069689,1.55
2020-01-31,Hong Kong Exchanges and Clearing Ltd,HK0388045442,1.55
2020-01-31,China Unicom Hong Kong Ltd,HK0000049939,1.55
2020-01-31,BOC Hong Kong Holdings Ltd,HK2388011192,1.55
2020-01-31,CITIC Ltd,HK0267001375,1.55
2020-01-31,Sun Hung Kai Properties Ltd,HK0016000132,1.55
2020-01-31,Hang Seng Bank Ltd,HK0011000095,1.55
2020-01-31,Techtronic Industries Co Ltd,HK0669013440,1.55
2020-01-31,China Resources Land Ltd,KYG2108Y1052,1.55
2020-01-31,Geely Automobile Holdings Ltd,KYG3777B1032,1.55
2020-01-31,CLP Holdings Ltd,HK0002007356,1.55
2020-01-31,MTR Corp Ltd,HK0066009694,1.55
2020-01-31,China Overseas Land & Investment Ltd,HK0688002218,1.55
2020-01-31,CK Hutchison Holdings Ltd,KYG217651051,1.55
2020-01-31,Sands China Ltd,KYG7800X1079,1.55
2020-01-31,Galaxy Entertainment Group Ltd,HK0027032686,1.55
2020-01-31,CK Infrastructure Holdings Ltd,BMG2178K1009,1.55
2020-01-31,CK Asset Holdings Ltd,KYG2177B1014,1.55
2020-01-31,Hong Kong and China Gas Co Ltd,HK0003000038,1.55
2020-01-31,Power Assets Holdings Ltd,HK0006000050,1.55
2020-01-31,Henderson Land Development Co Ltd,HK0012000102,1.55
2020-01-31,Sunny Optical Technology Group Co Ltd,KYG8586D1097,1.55
2020-01-31,Link Real Estate Investment Trust,HK0823032773,1.55
2020-01-31,Shenzhou International Group Holdings Ltd,KYG8087W1015,1.55
2020-01-31,WH Group Ltd,KYG960071028,1.55
2020-01-31,China Mengniu Dairy Co Ltd,KYG210961051,1.55
2020-01-31,Sino Biopharmaceutical Ltd,KYG8167W1380,1.55
2020-01-31,Wharf Real Estate Investment Company Ltd,KYG9593A1040,1.55
2020-01-31,CSPC Pharmaceutical Group Ltd,HK1093012172,1.55
2020-01-31,Hang Lung Properties Ltd,HK0101000591,1.55
2020-01-31,Hengan International Group Company Ltd,KYG4402L1510,1.55
2020-01-31,New World Dev,HK0000608585,1.55
2020-01-31,CountryGarden,KYG245241032,1.55
2020-01-31,AAC Tech Hldg,KYG2953R1149,1.55
2020-01-31,BOCOM,CNE100000205,1.55
2020-01-31,Swire Pacific,HK0019000162,1.55
2020-01-31,China Shenhua,CNE1000002R0,1.55
2020-01-31,Sino Land,HK0083000502,1.55
2020-01-31,Want Want China,KYG9431R1039,1.55
2020-02-28,Tencent Holdings Ltd,KYG875721634,1.27
2020-02-28,Industrial and Commercial Bank of China Ltd,CNE1000003G1,1.27
2020-02-28,China Mobile Ltd,HK0941009539,1.27
2020-02-28,Bank of China Ltd,CNE1000001Z5,1.27
2020-02-28,China Construction Bank Corp,CNE1000002H1,1.27
2020-02-28,HSBC Holdings PLC,GB0005405286,1.27
2020-02-28,PetroChina Co Ltd,CNE1000003W8,1.27
2020-02-28,China Life Insurance Co Ltd,CNE1000002L3,1.27
2020-02-28,Ping An Insurance Group Co of China Ltd,CNE1000003X6,1.27
2020-02-28,CNOOC Ltd,HK0883013259,1.27
2020-02-28,China Petroleum & Chemical Corp,CNE1000002Q2,1.27
2020-02-28,AIA Group Ltd,HK0000069689,1.27
2020-02-28,Hong Kong Exchanges and Clearing Ltd,HK0388045442,1.27
2020-02-28,China Unicom Hong Kong Ltd,HK0000049939,1.27
2020-02-28,BOC Hong Kong Holdings Ltd,HK2388011192,1.27
2020-02-28,CITIC Ltd,HK0267001375,1.27
2020-02-28,Sun Hung Kai Properties Ltd,HK0016000132,1.27
2020-02-28,Hang Seng Bank Ltd,HK0011000095,1.27
2020-02-28,Techtronic Industries Co Ltd,HK0669013440,1.27
2020-02-28,China Resources Land Ltd,KYG2108Y1052,1.27
2020-02-28,Geely Automobile Holdings Ltd,KYG3777B1032,1.27
2020-02-28,CLP Holdings Ltd,HK0002007356,1.27
2020-02-28,MTR Corp Ltd,HK0066009694,1.27
2020-02-28,China Overseas Land & Investment Ltd,HK0688002218,1.27
2020-02-28,CK Hutchison Holdings Ltd,KYG217651051,1.27
2020-02-28,Sands China Ltd,KYG7800X1079,1.27
2020-02-28,Galaxy Entertainment Group Ltd,HK0027032686,1.27
2020-02-28,CK Infrastructure Holdings Ltd,BMG2178K1009,1.27
2020-02-28,CK Asset Holdings Ltd,KYG2177B1014,1.27
2020-02-28,Hong Kong and China Gas Co Ltd,HK0003000038,1.27
2020-02-28,Power Assets Holdings Ltd,HK0006000050,1.27
2020-02-28,Henderson Land Development Co Ltd,HK0012000102,1.27
2020-02-28,Sunny Optical Technology Group Co Ltd,KYG8586D1097,1.27
2020-02-28,Link Real Estate Investment Trust,HK0823032773,1.27
2020-02-28,Shenzhou International Group Holdings Ltd,KYG8087W1015,1.27
2020-02-28,WH Group Ltd,KYG960071028,1.27
2020-02-28,China Mengniu Dairy Co Ltd,KYG210961051,1.27
2020-02-28,Sino Biopharmaceutical Ltd,KYG8167W1380,1.27
2020-02-28,Wharf Real Estate Investment Company Ltd,KYG9593A1040,1.27
2020-02-28,CSPC Pharmaceutical Group Ltd,HK1093012172,1.27
2020-02-28,Hang Lung Properties Ltd,HK0101000591,1.27
2020-02-28,Hengan International Group Company Ltd,KYG4402L1510,1.27
2020-02-28,New World Dev,HK0000608585,1.27
2020-02-28,CountryGarden,KYG245241032,1.27
2020-02-28,AAC Tech Hldg,KYG2953R1149,1.27
2020-02-28,BOCOM,CNE100000205,1.27
2020-02-28,Swire Pacific,HK0019000162,1.27
2020-02-28,China Shenhua,CNE1000002R0,1.27
2020-02-28,Sino Land,HK0083000502,1.27
2020-02-28,Want Want China,KYG9431R1039,1.27
2020-03-31,Tencent Holdings Ltd,KYG875721634,0.11
