Date,Company,ISIN,Ri (%),Rf (%),Size,Value,ESG Score,ESGC Score
1/31/20,Apple Inc,US0378331005,,1.55,,,71.17527237,6.25
1/31/20,NVIDIA Corp,US67066G1040,,1.55,,,79.56306333,21.42857143
1/31/20,Microsoft Corp,US5949181045,,1.55,,,93.13085569,5.93220339
1/31/20,Amazon.com Inc,US0231351067,,1.55,,,87.06463552,2.941176471
1/31/20,Alphabet Inc,US02079K3059,,1.55,,,69.89571384,4.166666667
1/31/20,Alphabet Inc,US02079K1079,,1.55,,,69.89571384,4.166666667
1/31/20,Meta Platforms Inc,US30303M1027,,1.55,,,48.72042911,4.166666667
1/31/20,Berkshire Hathaway Inc,US0846707026,,1.55,,,33.19671712,91.66666667
1/31/20,Broadcom Inc,US11135F1012,,1.55,,,32.35103913,100
1/31/20,Eli Lilly and Co,US5324571083,,1.55,,,69.61767447,65.2173913
1/31/20,Walmart Inc,US9311421039,,1.55,,,79.64025335,2.777777778
1/31/20,JPMorgan Chase & Co,US46625H1005,,1.55,,,83.91556393,2.525252525
1/31/20,Visa Inc,US92826C8394,,1.55,,,70.68997555,35.59322034
1/31/20,Mastercard Inc,US57636Q1040,,1.55,,,66.56242913,44.79166667
1/31/20,Exxon Mobil Corp,US30231G1022,,1.55,,,77.18594299,4.6875
1/31/20,Oracle Corp,US68389X1054,,1.55,,,52.93893496,41.02564103
1/31/20,Costco Wholesale Corp,US22160K1051,,1.55,,,65.81458119,88.23529412
1/31/20,Unitedhealth Group Inc,US91324P1021,,1.55,,,70.22361041,100
1/31/20,Netflix Inc,US64110L1061,,1.55,,,21.58295742,26.27118644
1/31/20,Procter & Gamble Co,US7427181091,,1.55,,,65.59071219,16.66666667
1/31/20,Johnson & Johnson,US4781601046,,1.55,,,85.02243308,5.681818182
1/31/20,Home Depot Inc,US4370761029,,1.55,,,73.84554539,8.333333333
1/31/20,AbbVie Inc,US00287Y1091,,1.55,,,80.54687878,90.90909091
1/31/20,Bank of America Corp,US0605051046,,1.55,,,86.21598153,11.61616162
1/31/20,Coca-Cola Co,US1912161007,,1.55,,,68.28521632,5.555555556
