Date,Company,ISIN,Ri (%),Rf (%),Size,Value,ESG Score,ESGC Score
1/31/20,LVMH Moet Hennessy Louis Vuitton SE,FR0000121014,,1.55,,,,
1/31/20,SAP SE,DE0007164600,,1.55,,,,
1/31/20,Hermes International SCA,FR0000052292,,1.55,,,,
1/31/20,Novo Nordisk A/S,DK0062498333,,1.55,,,,
1/31/20,ASML Holding NV,NL0010273215,,1.55,,,,
1/31/20,Roche Holding AG,CH0012032048,,1.55,,,,
1/31/20,Nestle SA,CH0038863350,,1.55,,,,
1/31/20,Novartis AG,CH0012005267,,1.55,,,,
1/31/20,AstraZeneca PLC,GB0009895292,,1.55,,,,
1/31/20,Shell PLC,GB00BP6MXD84,,1.55,,,,
1/31/20,HSBC Holdings PLC,GB0005405286,,1.55,,,,
1/31/20,L'Oreal SA,FR0000120321,,1.55,,,,
1/31/20,Siemens AG,DE0007236101,,1.55,,,,
1/31/20,Deutsche Telekom AG,DE0005557508,,1.55,,,,
1/31/20,Industria de Diseno Textil SA,ES0148396007,,1.55,,,,
1/31/20,Schneider Electric SE,FR0000121972,,1.55,,,,
1/31/20,Unilever PLC,GB00B10RZP78,,1.55,,,,
1/31/20,EssilorLuxottica SA,FR0000121667,,1.55,,,,
1/31/20,TotalEnergies SE,FR0000120271,,1.55,,,,
1/31/20,Sanofi SA,FR0000120578,,1.55,,,,
1/31/20,Airbus SE,NL0000235190,,1.55,,,,
1/31/20,Allianz SE,DE0008404005,,1.55,,,,
1/31/20,Prosus NV,NL0013654783,,1.55,,,,
1/31/20,UBS Group AG,CH0244767585,,1.55,,,,
1/31/20,Rio Tinto PLC,GB0007188757,,1.55,,,,
1/31/20,Safran SA,FR0000073272,,1.55,,,,
1/31/20,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George,FR0000120073,,1.55,,,,
1/31/20,Abb Ltd,CH0012221716,,1.55,,,,
1/31/20,Compagnie Financiere Richemont SA,CH0210483332,,1.55,,,,
1/31/20,Ferrari NV,NL0011585146,,1.55,,,,
1/31/20,Anheuser-Busch Inbev SA,BE0974293251,,1.55,,,,
1/31/20,Zurich Insurance Group AG,CH0011075394,,1.55,,,,
1/31/20,Banco Santander SA,ES0113900J37,,1.55,,,,
1/31/20,Investor AB,SE0015811963,,1.55,,,,
1/31/20,RELX PLC,GB00B2B0DG97,,1.55,,,,
1/31/20,Iberdrola SA,ES0144580Y14,,1.55,,,,
1/31/20,BP PLC,GB0007980591,,1.55,,,,
1/31/20,AXA SA,FR0000120628,,1.55,,,,
1/31/20,Intesa Sanpaolo SpA,IT0000072618,,1.55,,,,
1/31/20,BNP Paribas SA,FR0000131104,,1.55,,,,
1/31/20,British American Tobacco plc,GB0002875804,,1.55,,,,
1/31/20,Atlas Copco AB,SE0017486889,,1.55,,,,
1/31/20,UniCredit SpA,IT0005239360,,1.55,,,,
1/31/20,London Stock Exchange Group PLC,GB00B0SWJX34,,1.55,,,,
1/31/20,GSK plc,GB00BN7SWP63,,1.55,,,,
1/31/20,Banco Bilbao Vizcaya Argentaria SA,ES0113211835,,1.55,,,,
1/31/20,Enel SpA,IT0003128367,,1.55,,,,
1/31/20,Muenchener Rueckversicherungs-Gesellschaft in Muenchen AG,DE0008430026,,1.55,,,,
1/31/20,Vinci SA,FR0000125486,,1.55,,,,
1/31/20,Rolls-Royce Holdings PLC,GB00B63H8491,,1.55,,,,
1/31/20,Siemens Healthineers AG,DE000SHL1006,,1.55,,,,
1/31/20,Equinor ASA,NO0010096985,,1.55,,,,
1/31/20,Volvo AB,SE0000115446,,1.55,,,,
1/31/20,Merck KGaA,DE0006599905,,1.55,,,,
1/31/20,Diageo PLC,GB0002374006,,1.55,,,,
1/31/20,Holcim AG,CH0012214059,,1.55,,,,
1/31/20,Compass Group PLC,GB00BD6K4575,,1.55,,,,
1/31/20,Mercedes-Benz Group AG,DE0007100000,,1.55,,,,
1/31/20,National Grid PLC,GB00BDR05C01,,1.55,,,,
1/31/20,Adyen NV,NL0012969182,,1.55,,,,
1/31/20,Dassault Systemes SE,FR0014003TT8,,1.55,,,,
1/31/20,Barclays PLC,GB0031348658,,1.55,,,,
1/31/20,Bayerische Motoren Werke AG,DE0005190003,,1.55,,,,
1/31/20,ING Groep NV,NL0011821202,,1.55,,,,
1/31/20,Volkswagen AG,DE0007664039,,1.55,,,,
1/31/20,Infineon Technologies AG,DE0006231004,,1.55,,,,
1/31/20,Assicurazioni Generali SpA,IT0000062072,,1.55,,,,
1/31/20,Lloyds Banking Group PLC,GB0008706128,,1.55,,,,
1/31/20,3i Group PLC,GB00B1YW4409,,1.55,,,,
1/31/20,Glencore PLC,JE00B4T3BW64,,1.55,,,,
1/31/20,Credit Agricole SA,FR0000045072,,1.55,,,,
1/31/20,Compagnie de Saint Gobain SA,FR0000125007,,1.55,,,,
1/31/20,Swiss Re AG,CH0126881561,,1.55,,,,
1/31/20,Danone SA,FR0000120644,,1.55,,,,
1/31/20,DSV A/S,DK0060079531,,1.55,,,,
1/31/20,CaixaBank SA,ES0140609019,,1.55,,,,
1/31/20,Deutsche Boerse AG,DE0005810055,,1.55,,,,
1/31/20,Eni SpA,IT0003132476,,1.55,,,,
1/31/20,BAE Systems PLC,GB0002634946,,1.55,,,,
1/31/20,Heineken NV,NL0000009165,,1.55,,,,
1/31/20,Lonza Group AG,CH0013841017,,1.55,,,,
1/31/20,Adidas AG,DE000A1EWWW0,,1.55,,,,
1/31/20,Deutsche Post AG,DE0005552004,,1.55,,,,
1/31/20,NatWest Group PLC,GB00BM8PJY71,,1.55,,,,
1/31/20,BASF SE,DE000BASF111,,1.55,,,,
1/31/20,Reckitt Benckiser Group PLC,GB00B24CGK77,,1.55,,,,
1/31/20,Nordea Bank Abp,FI4000297767,,1.55,,,,
1/31/20,Alcon AG,CH0432492467,,1.55,,,,
1/31/20,Experian PLC,GB00B19NLV48,,1.55,,,,
1/31/20,Wolters Kluwer NV,NL0000395903,,1.55,,,,
1/31/20,Sika AG,CH0418792922,,1.55,,,,
1/31/20,Partners Group Holding AG,CH0024608827,,1.55,,,,
1/31/20,Anglo American PLC,GB00B1XZS820,,1.55,,,,
1/31/20,Engie SA,FR0010208488,,1.55,,,,
1/31/20,Rheinmetall AG,DE0007030009,,1.55,,,,
1/31/20,EQT AB,SE0012853455,,1.55,,,,
1/31/20,Stellantis NV,NL00150001Q9,,1.55,,,,
1/31/20,Givaudan SA,CH0010645932,,1.55,,,,
1/31/20,Deutsche Bank AG,DE0005140008,,1.55,,,,
1/31/20,argenx SE,NL0010832176,,1.55,,,,
1/31/20,Thales SA,FR0000121329,,1.55,,,,
1/31/20,Ucb SA,BE0003739530,,1.55,,,,
1/31/20,Standard Chartered PLC,GB0004082847,,1.55,,,,
1/31/20,Kering SA,FR0000121485,,1.55,,,,
1/31/20,Henkel AG & Co KGaA,DE0006048432,,1.55,,,,
1/31/20,Kbc Groep NV,BE0003565737,,1.55,,,,
1/31/20,Skandinaviska Enskilda Banken AB,SE0000148884,,1.55,,,,
1/31/20,Dnb Bank ASA,NO0010161896,,1.55,,,,
1/31/20,Beiersdorf AG,DE0005200000,,1.55,,,,
1/31/20,Aena SME SA,ES0105046009,,1.55,,,,
1/31/20,Amadeus IT Group SA,ES0109067019,,1.55,,,,
1/31/20,Ferrovial SE,NL0015001FS8,,1.55,,,,
1/31/20,Assa Abloy AB,SE0007100581,,1.55,,,,
1/31/20,E On Se,DE000ENAG999,,1.55,,,,
1/31/20,Koninklijke Ahold Delhaize NV,NL0011794037,,1.55,,,,
1/31/20,Schindler Holding AG,CH0024638196,,1.55,,,,
1/31/20,Tesco PLC,GB00BLGZ9862,,1.55,,,,
1/31/20,Societe Generale SA,FR0000130809,,1.55,,,,
1/31/20,Hannover Rueck SE,DE0008402215,,1.55,,,,
1/31/20,Hexagon AB,SE0015961909,,1.55,,,,
1/31/20,Orange SA,FR0000133308,,1.55,,,,
