Date,Rf (%)
2024-12-31,4.34
2024-12-30,4.34
2024-12-27,4.29
2024-12-26,4.34
2024-12-24,4.39
2024-12-23,4.35
2024-12-20,4.33
2024-12-19,4.33
2024-12-18,4.36
2024-12-17,4.37
2024-12-16,4.36
2024-12-13,4.33
2024-12-12,4.33
2024-12-11,4.37
2024-12-10,4.4
2024-12-09,4.41
2024-12-06,4.42
2024-12-05,4.45
2024-12-04,4.46
2024-12-03,4.47
2024-12-02,4.49
2024-11-29,4.5
2024-11-27,4.51
2024-11-26,4.51
2024-11-25,4.53
2024-11-22,4.54
2024-11-21,4.54
2024-11-20,4.53
2024-11-19,4.52
2024-11-18,4.53
2024-11-15,4.52
2024-11-14,4.52
2024-11-13,4.51
2024-11-12,4.54
2024-11-08,4.54
2024-11-07,4.54
2024-11-06,4.55
2024-11-05,4.54
2024-11-04,4.55
2024-11-01,4.52
2024-10-31,4.55
2024-10-30,4.58
2024-10-29,4.6
2024-10-28,4.6
2024-10-25,4.63
2024-10-24,4.61
2024-10-23,4.64
2024-10-22,4.63
2024-10-21,4.63
2024-10-18,4.64
2024-10-17,4.66
2024-10-16,4.63
2024-10-15,4.64
2024-10-11,4.64
2024-10-10,4.66
2024-10-09,4.66
2024-10-08,4.65
2024-10-07,4.67
2024-10-04,4.64
2024-10-03,4.59
2024-10-02,4.59
2024-10-01,4.61
2024-09-30,4.64
2024-09-27,4.61
2024-09-26,4.61
2024-09-25,4.63
2024-09-24,4.61
2024-09-23,4.65
2024-09-20,4.67
2024-09-19,4.73
2024-09-18,4.77
2024-09-17,4.87
2024-09-16,4.87
2024-09-13,4.9
2024-09-12,4.98
2024-09-11,5.02
2024-09-10,4.98
2024-09-09,5.02
2024-09-06,5.06
2024-09-05,5.07
2024-09-04,5.09
2024-09-03,5.1
2024-08-30,5.11
2024-08-29,5.11
2024-08-28,5.09
2024-08-27,5.11
2024-08-26,5.11
2024-08-23,5.14
2024-08-22,5.18
2024-08-21,5.16
2024-08-20,5.18
2024-08-19,5.2
2024-08-16,5.21
2024-08-15,5.23
2024-08-14,5.21
2024-08-13,5.2
2024-08-12,5.21
2024-08-09,5.22
2024-08-08,5.23
2024-08-07,5.23
2024-08-06,5.23
2024-08-05,5.23
2024-08-02,5.18
2024-08-01,5.26
2024-07-31,5.29
2024-07-30,5.28
2024-07-29,5.29
2024-07-26,5.3
2024-07-25,5.31
2024-07-24,5.32
2024-07-23,5.32
2024-07-22,5.33
2024-07-19,5.34
2024-07-18,5.35
2024-07-17,5.34
2024-07-16,5.34
2024-07-15,5.34
2024-07-12,5.35
2024-07-11,5.35
2024-07-10,5.37
2024-07-09,5.37
2024-07-08,5.37
2024-07-05,5.37
2024-07-03,5.38
2024-07-02,5.38
2024-07-01,5.38
2024-06-28,5.36
2024-06-27,5.37
2024-06-26,5.38
2024-06-25,5.37
2024-06-24,5.38
2024-06-21,5.37
2024-06-20,5.38
2024-06-18,5.38
2024-06-17,5.39
2024-06-14,5.39
2024-06-13,5.39
2024-06-12,5.39
2024-06-11,5.39
2024-06-10,5.39
2024-06-07,5.4
2024-06-06,5.39
2024-06-05,5.39
2024-06-04,5.39
2024-06-03,5.4
2024-05-31,5.39
2024-05-30,5.4
2024-05-29,5.4
2024-05-28,5.4
2024-05-24,5.4
2024-05-23,5.4
2024-05-22,5.39
2024-05-21,5.39
2024-05-20,5.39
2024-05-17,5.39
2024-05-16,5.39
2024-05-15,5.39
2024-05-14,5.38
2024-05-13,5.39
2024-05-10,5.4
2024-05-09,5.39
2024-05-08,5.39
2024-05-07,5.39
2024-05-06,5.39
2024-05-03,5.39
2024-05-02,5.39
2024-05-01,5.4
2024-04-30,5.39
2024-04-29,5.39
2024-04-26,5.39
2024-04-25,5.4
2024-04-24,5.4
2024-04-23,5.39
2024-04-22,5.36
2024-04-19,5.39
2024-04-18,5.39
2024-04-17,5.39
2024-04-16,5.39
2024-04-15,5.39
2024-04-12,5.39
2024-04-11,5.39
2024-04-10,5.39
2024-04-09,5.37
2024-04-08,5.37
2024-04-05,5.37
2024-04-04,5.35
2024-04-03,5.36
2024-04-02,5.36
2024-04-01,5.37
2024-03-28,5.37
2024-03-27,5.36
2024-03-26,5.36
2024-03-25,5.37
2024-03-22,5.38
2024-03-21,5.39
2024-03-20,5.38
2024-03-19,5.38
2024-03-18,5.39
2024-03-15,5.39
2024-03-14,5.39
2024-03-13,5.39
2024-03-12,5.39
2024-03-11,5.38
2024-03-08,5.38
2024-03-07,5.38
2024-03-06,5.38
2024-03-05,5.37
2024-03-04,5.38
2024-03-01,5.37
2024-02-29,5.39
2024-02-28,5.38
2024-02-27,5.39
2024-02-26,5.4
2024-02-23,5.42
2024-02-22,5.41
2024-02-21,5.4
2024-02-20,5.4
2024-02-16,5.39
2024-02-15,5.39
2024-02-14,5.39
2024-02-13,5.41
2024-02-12,5.39
2024-02-09,5.4
2024-02-08,5.39
2024-02-07,5.39
2024-02-06,5.39
2024-02-05,5.38
2024-02-02,5.39
2024-02-01,5.38
2024-01-31,5.38
2024-01-30,5.37
2024-01-29,5.38
2024-01-26,5.36
2024-01-25,5.37
2024-01-24,5.37
2024-01-23,5.37
2024-01-22,5.38
2024-01-19,5.37
2024-01-18,5.38
2024-01-17,5.4
2024-01-16,5.38
2024-01-12,5.37
2024-01-11,5.39
2024-01-10,5.39
2024-01-09,5.4
2024-01-08,5.41
2024-01-05,5.4
2024-01-04,5.4
2024-01-03,5.4
2024-01-02,5.38
