Date,Company,ISIN,Ri (%),Rf (%),Size,Value,ESG Score,ESGC Score
2020-01-31,LVMH Moet Hennessy Louis Vuitton SE,FR0000121014,,1.55,,,,
2020-01-31,SAP SE,DE0007164600,,1.55,,,,
2020-01-31,Hermes International SCA,FR0000052292,,1.55,,,,
2020-01-31,Novo Nordisk A/S,DK0062498333,,1.55,,,,
2020-01-31,ASML Holding NV,NL0010273215,,1.55,,,,
2020-01-31,Roche Holding AG,CH0012032048,,1.55,,,,
2020-01-31,Nestle SA,CH0038863350,,1.55,,,,
2020-01-31,Novartis AG,CH0012005267,,1.55,,,,
2020-01-31,AstraZeneca PLC,GB0009895292,,1.55,,,,
2020-01-31,Shell PLC,GB00BP6MXD84,,1.55,,,,
2020-01-31,HSBC Holdings PLC,GB0005405286,,1.55,,,,
2020-01-31,L'Oreal SA,FR0000120321,,1.55,,,,
2020-01-31,Siemens AG,DE0007236101,,1.55,,,,
2020-01-31,Deutsche Telekom AG,DE0005557508,,1.55,,,,
2020-01-31,Industria de Diseno Textil SA,ES0148396007,,1.55,,,,
2020-01-31,Schneider Electric SE,FR0000121972,,1.55,,,,
2020-01-31,Unilever PLC,GB00B10RZP78,,1.55,,,,
2020-01-31,EssilorLuxottica SA,FR0000121667,,1.55,,,,
2020-01-31,TotalEnergies SE,FR0000120271,,1.55,,,,
2020-01-31,Sanofi SA,FR0000120578,,1.55,,,,
2020-01-31,Airbus SE,NL0000235190,,1.55,,,,
2020-01-31,Allianz SE,DE0008404005,,1.55,,,,
2020-01-31,Prosus NV,NL0013654783,,1.55,,,,
2020-01-31,UBS Group AG,CH0244767585,,1.55,,,,
2020-01-31,Rio Tinto PLC,GB0007188757,,1.55,,,,
2020-01-31,Safran SA,FR0000073272,,1.55,,,,
2020-01-31,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George,FR0000120073,,1.55,,,,
2020-01-31,Abb Ltd,CH0012221716,,1.55,,,,
2020-01-31,Compagnie Financiere Richemont SA,CH0210483332,,1.55,,,,
2020-01-31,Ferrari NV,NL0011585146,,1.55,,,,
2020-01-31,Anheuser-Busch Inbev SA,BE0974293251,,1.55,,,,
2020-01-31,Zurich Insurance Group AG,CH0011075394,,1.55,,,,
2020-01-31,Banco Santander SA,ES0113900J37,,1.55,,,,
2020-01-31,Investor AB,SE0015811963,,1.55,,,,
2020-01-31,RELX PLC,GB00B2B0DG97,,1.55,,,,
2020-01-31,Iberdrola SA,ES0144580Y14,,1.55,,,,
2020-01-31,BP PLC,GB0007980591,,1.55,,,,
2020-01-31,AXA SA,FR0000120628,,1.55,,,,
2020-01-31,Intesa Sanpaolo SpA,IT0000072618,,1.55,,,,
2020-01-31,BNP Paribas SA,FR0000131104,,1.55,,,,
2020-01-31,British American Tobacco plc,GB0002875804,,1.55,,,,
2020-01-31,Atlas Copco AB,SE0017486889,,1.55,,,,
2020-01-31,UniCredit SpA,IT0005239360,,1.55,,,,
2020-01-31,London Stock Exchange Group PLC,GB00B0SWJX34,,1.55,,,,
2020-01-31,GSK plc,GB00BN7SWP63,,1.55,,,,
2020-01-31,Banco Bilbao Vizcaya Argentaria SA,ES0113211835,,1.55,,,,
2020-01-31,Enel SpA,IT0003128367,,1.55,,,,
2020-01-31,Muenchener Rueckversicherungs-Gesellschaft in Muenchen AG,DE0008430026,,1.55,,,,
2020-01-31,Vinci SA,FR0000125486,,1.55,,,,
2020-01-31,Rolls-Royce Holdings PLC,GB00B63H8491,,1.55,,,,
2020-01-31,Siemens Healthineers AG,DE000SHL1006,,1.55,,,,
2020-01-31,Equinor ASA,NO0010096985,,1.55,,,,
2020-01-31,Volvo AB,SE0000115446,,1.55,,,,
2020-01-31,Merck KGaA,DE0006599905,,1.55,,,,
2020-01-31,Diageo PLC,GB0002374006,,1.55,,,,
2020-01-31,Holcim AG,CH0012214059,,1.55,,,,
2020-01-31,Compass Group PLC,GB00BD6K4575,,1.55,,,,
2020-01-31,Mercedes-Benz Group AG,DE0007100000,,1.55,,,,
2020-01-31,National Grid PLC,GB00BDR05C01,,1.55,,,,
2020-01-31,Adyen NV,NL0012969182,,1.55,,,,
2020-01-31,Dassault Systemes SE,FR0014003TT8,,1.55,,,,
2020-01-31,Barclays PLC,GB0031348658,,1.55,,,,
2020-01-31,Bayerische Motoren Werke AG,DE0005190003,,1.55,,,,
2020-01-31,ING Groep NV,NL0011821202,,1.55,,,,
2020-01-31,Volkswagen AG,DE0007664039,,1.55,,,,
2020-01-31,Infineon Technologies AG,DE0006231004,,1.55,,,,
2020-01-31,Assicurazioni Generali SpA,IT0000062072,,1.55,,,,
2020-01-31,Lloyds Banking Group PLC,GB0008706128,,1.55,,,,
2020-01-31,3i Group PLC,GB00B1YW4409,,1.55,,,,
2020-01-31,Glencore PLC,JE00B4T3BW64,,1.55,,,,
2020-01-31,Credit Agricole SA,FR0000045072,,1.55,,,,
2020-01-31,Compagnie de Saint Gobain SA,FR0000125007,,1.55,,,,
2020-01-31,Swiss Re AG,CH0126881561,,1.55,,,,
2020-01-31,Danone SA,FR0000120644,,1.55,,,,
2020-01-31,DSV A/S,DK0060079531,,1.55,,,,
2020-01-31,CaixaBank SA,ES0140609019,,1.55,,,,
2020-01-31,Deutsche Boerse AG,DE0005810055,,1.55,,,,
2020-01-31,Eni SpA,IT0003132476,,1.55,,,,
2020-01-31,BAE Systems PLC,GB0002634946,,1.55,,,,
2020-01-31,Heineken NV,NL0000009165,,1.55,,,,
2020-01-31,Lonza Group AG,CH0013841017,,1.55,,,,
2020-01-31,Adidas AG,DE000A1EWWW0,,1.55,,,,
2020-01-31,Deutsche Post AG,DE0005552004,,1.55,,,,
2020-01-31,NatWest Group PLC,GB00BM8PJY71,,1.55,,,,
2020-01-31,BASF SE,DE000BASF111,,1.55,,,,
2020-01-31,Reckitt Benckiser Group PLC,GB00B24CGK77,,1.55,,,,
2020-01-31,Nordea Bank Abp,FI4000297767,,1.55,,,,
2020-01-31,Alcon AG,CH0432492467,,1.55,,,,
2020-01-31,Experian PLC,GB00B19NLV48,,1.55,,,,
2020-01-31,Wolters Kluwer NV,NL0000395903,,1.55,,,,
2020-01-31,Sika AG,CH0418792922,,1.55,,,,
2020-01-31,Partners Group Holding AG,CH0024608827,,1.55,,,,
2020-01-31,Anglo American PLC,GB00B1XZS820,,1.55,,,,
2020-01-31,Engie SA,FR0010208488,,1.55,,,,
2020-01-31,Rheinmetall AG,DE0007030009,,1.55,,,,
2020-01-31,EQT AB,SE0012853455,,1.55,,,,
2020-01-31,Stellantis NV,NL00150001Q9,,1.55,,,,
2020-01-31,Givaudan SA,CH0010645932,,1.55,,,,
2020-01-31,Deutsche Bank AG,DE0005140008,,1.55,,,,
2020-01-31,argenx SE,NL0010832176,,1.55,,,,
2020-01-31,Thales SA,FR0000121329,,1.55,,,,
2020-01-31,Ucb SA,BE0003739530,,1.55,,,,
2020-01-31,Standard Chartered PLC,GB0004082847,,1.55,,,,
2020-01-31,Kering SA,FR0000121485,,1.55,,,,
2020-01-31,Henkel AG & Co KGaA,DE0006048432,,1.55,,,,
2020-01-31,Kbc Groep NV,BE0003565737,,1.55,,,,
2020-01-31,Skandinaviska Enskilda Banken AB,SE0000148884,,1.55,,,,
2020-01-31,Dnb Bank ASA,NO0010161896,,1.55,,,,
2020-01-31,Beiersdorf AG,DE0005200000,,1.55,,,,
2020-01-31,Aena SME SA,ES0105046009,,1.55,,,,
2020-01-31,Amadeus IT Group SA,ES0109067019,,1.55,,,,
2020-01-31,Ferrovial SE,NL0015001FS8,,1.55,,,,
2020-01-31,Assa Abloy AB,SE0007100581,,1.55,,,,
2020-01-31,E On Se,DE000ENAG999,,1.55,,,,
2020-01-31,Koninklijke Ahold Delhaize NV,NL0011794037,,1.55,,,,
