Adjustment,Date,Company,ISIN
-,2024-12-16,Asymchem,CNE100002BZ6
+,2024-12-16,Biokin Pharm,CNE100006FN4
-,2024-12-16,Bloomage Biotech,CNE100003NL9
-,2024-12-16,BTN,CNE100004G74
+,2024-12-16,Capital Ses,CNE100005VG7
-,2024-12-16,ChongqingBrewery,CNE000000TL3
-,2024-12-16,CNGR,CNE1000049X9
+,2024-12-16,CSI Solar,CNE100006KH6
+,2024-12-16,CSICPCL,CNE000001KB1
-,2024-12-16,CVTE,CNE100002K47
+,2024-12-16,Eoptolink,CNE100002615
-,2024-12-16,Glodon,CNE100000PH8
-,2024-12-16,Ingenic,CNE100001377
+,2024-12-16,Jiangsu Exwy,CNE0000016S0
+,2024-12-16,Kelun Pharm,CNE100000PW7
-,2024-12-16,M&G,CNE100001V60
-,2024-12-16,Maxwell,CNE100003FS0
+,2024-12-16,Roborock,CNE100003R80
-,2024-12-16,Sangfor,CNE1000033T1
+,2024-12-16,Seres Grp,CNE1000028B9
+,2024-12-16,Sieyuan,CNE000001KM8
+,2024-12-16,SJI,CNE0000012L4
-,2024-12-16,ST Aiko,CNE000000LN6
+,2024-12-16,TFC,CNE100001XQ1
-,2024-12-16,ThunderSoft,CNE1000021D0
+,2024-12-16,TNMG,CNE000000529
-,2024-12-16,Walvax,CNE100000WN2
+,2024-12-16,WUS,CNE100000SP5
-,2024-12-16,YILING PHARMA,CNE1000015S0
+,2024-12-16,YTCO,CNE000000PY4
-,2024-12-16,Zhenhua Tech,CNE000000RY0
+,2024-12-16,ZJJH,CNE000000WQ6
+,2024-06-17,ACM Research SH,CNE100004ZD8
-,2024-06-17,Cathay Biotech,CNE100004447
+,2024-06-17,CMET,CNE1000032B1
+,2024-06-17,Commodities City,CNE000001BC8
+,2024-06-17,COSCO Energy,CNE000001BD6
+,2024-06-17,CRSC,CNE100003MP2
-,2024-06-17,Ecovacs,CNE1000031N8
-,2024-06-17,Ginlong Tech,CNE100003JZ7
-,2024-06-17,Goldwind Science,CNE1000008S5
-,2024-06-17,Greenland Hldng,CNE000000388
+,2024-06-17,HDPI,CNE000001LJ2
+,2024-06-17,HuaqinTechnology,CNE100006M82
-,2024-06-17,Jin Jiang Hotels,CNE000000MK0
+,2024-06-17,Kunlun,CNE100001YF2
-,2024-06-17,MYSE,CNE100003HQ0
-,2024-06-17,OCT,CNE000000SS0
