Adjustment,Date,Company,ISIN
+,2024-12-09,Kuaishou Tech,KYG532631028
+,2024-12-09,New Oriental,KYG6470A1168
-,2024-12-09,New World Dev,HK0000608585
+,2024-06-11,BYD Electronic,HK0285041858
-,2024-06-11,Country Garde,KYG2453A1085
+,2023-12-04,Li Auto,KYG5479M1050
+,2023-12-04,Wuxi AppTec,CNE100003F19
-,2023-09-05,CountryGarden,KYG245241032
+,2023-09-05,Sinopharm,CNE100000FN7
+,2023-06-05,CN Res Power,HK0836012952
+,2023-06-05,JD Health Intl,KYG5074A1004
+,2023-06-05,Trip.com Group,KYG9066F1019
+,2023-06-05,Zijin Mining,CNE100000502
-,2023-01-03,Super Hi Intl,KYG8588S1049
+,2022-12-30,Super Hi Intl,KYG8588S1049
+,2022-12-05,CR Mixc,KYG2122G1064
+,2022-12-05,Haier Smart Home,CNE1000048K8
+,2022-12-05,Tingyi,KYG8878S1030
+,2022-09-05,Baidu,KYG070341048
+,2022-09-05,China Shenhua,CNE1000002R0
+,2022-09-05,CTF Group,KYG211461085
+,2022-09-05,Hansoh Pharm Grp,KYG549581067
-,2022-06-13,AAC Tech Hldg,KYG2953R1149
+,2022-06-13,China Hongqiao,KYG211501005
+,2022-06-13,OOIL,BMG677491539
+,2022-06-13,SMIC,KYG8020E1199
+,2022-06-13,Zhongsheng Group,KYG9894K1085
+,2022-03-07,Lenovo Group,HK0992009065
+,2022-03-07,Nongfu Spring,CNE100004272
+,2021-12-06,China Res Beer,HK0291001490
+,2021-12-06,ENN Energy,KYG3066L1014
+,2021-12-06,JD.com,KYG8208B1014
+,2021-12-06,NetEase,KYG6427A1022
-,2021-09-06,BOCOM,CNE100000205
+,2021-09-06,ChinaMrchntBank,CNE1000002M1
+,2021-09-06,Li Ning,KYG5496K1242
+,2021-09-06,Xinyi Glass,KYG9828G1082
+,2021-06-07,BYD,CNE100000296
+,2021-06-07,Country Garde,KYG2453A1085
+,2021-06-07,XYS,KYG9829N1025
+,2021-03-15,Ali Health,BMG0171K1018
+,2021-03-15,Haidilao Intl,KYG4290A1013
+,2021-03-15,Longfor Grp Hldg,KYG5635P1090
+,2020-12-07,ANTA Sports,KYG040111059
+,2020-12-07,BudweiserBrewing,KYG1674K1013
+,2020-12-07,Meituan,KYG596691041
-,2020-12-07,Swire Pacific,HK0019000162
+,2020-09-07,Alibaba,KYG017191142
-,2020-09-07,China Shenhua,CNE1000002R0
-,2020-09-07,Sino Land,HK0083000502
-,2020-09-07,Want Want China,KYG9431R1039
+,2020-09-07,WuXi Bio Cay,KYG970081173
+,2020-09-07,Xiaomi,KYG9830T1067
-,2019-03-11,CN Res Power,HK0836012952
+,2019-03-11,TTI,HK0669013440
-,2018-09-10,Bank East Asia,HK0023000190
-,2018-09-10,China Mer Port,HK0144000764
+,2018-09-10,Shenzhou Intl,KYG8087W1015
+,2018-09-10,Sino Biopharm,KYG8167W1380
-,2018-06-20,Country Garde,KYG2453A1085
+,2018-06-19,Country Garde,KYG2453A1085
+,2018-06-04,CSPC Pharma,HK1093012172
-,2018-06-04,Lenovo Group,HK0992009065
-,2018-03-05,Wharf Holdings,HK0004000045
-,2017-12-04,Cathay Pacific,HK0293001514
+,2017-12-04,CountryGarden,KYG245241032
-,2017-12-04,Kunlun Energy,BMG5320C1082
+,2017-12-04,Sunny Optical,KYG8586D1097
+,2017-11-23,Wharf Real Est,KYG9593A1040
+,2017-09-04,WH Group,KYG960071028
-,2017-07-19,Belle Intl Hldg,KYG097021045
+,2017-03-06,Geely Automobile,KYG3777B1032
-,2017-03-06,LI & Fung,BMG5485F1692
+,2016-09-05,AAC Tech Hldg,KYG2953R1149
-,2016-09-05,Tingyi,KYG8878S1030
