Adjustment,Date,Company,ISIN
-,2025-02-10,Asmodee Group SE,SE0023615638
+,2025-02-04,Asmodee Group SE,SE0023615638
-,2025-02-03,DS Smith,GB0008220112
+,2025-02-03,Embracer Group,SE0023615885
-,2025-01-17,Britvic,GB00B0N8QD54
+,2025-01-17,Plus500,IL0011284465
-,2024-12-23,Aixtron,DE000A0WMPJ6
+,2024-12-23,Banca Generali,IT0001031084
+,2024-12-23,Bridgepoint Grp,GB00BND88V85
+,2024-12-23,Carnival,GB0031215220
-,2024-12-23,Hays,GB0004161021
-,2024-12-23,Hugo Boss,DE000A1PHFF7
-,2024-12-23,Ipsos,FR0000073298
-,2024-12-23,OCI,NL0010558797
+,2024-12-23,Playtch,IM00B7S9G985
+,2024-12-23,Redcare Pharmacy,NL0012044747
-,2024-12-23,SES SA,LU0088087324
+,2024-12-23,Sparebank 1 Sor,NO0010631567
+,2024-12-23,TP ICAP Group,JE00BMDZN391
-,2024-12-23,Volvo Car AB,SE0021628898
+,2024-12-23,Vopak,NL0009432491
+,2024-12-23,VZ Holding,CH0528751586
-,2024-12-23,Wacker Chemie,DE000WCH8881
-,2024-12-23,Worldline,FR0011981968
-,2024-12-17,Havas,NL0015002AH0
-,2024-12-17,Louis Hachette,FR001400TL40
-,2024-12-17,Vivendi,FR0000127771
+,2024-12-16,Canal+,FR001400T0D6
+,2024-12-16,Havas,NL0015002AH0
+,2024-12-16,Louis Hachette,FR001400TL40
-,2024-10-01,Darktrace,GB00BNYK8G86
+,2024-10-01,Sulzer,CH0038388911
+,2024-09-30,Banca Mediolanum,IT0004776628
-,2024-09-30,VMUK,GB00BD6GN030
+,2024-09-23,Bavarian Nordic,DK0015998017
+,2024-09-23,CVC Cap Prtnr,JE00BRX98089
+,2024-09-23,Finance Tubize,BE0003823409
-,2024-09-23,Flutter,IE00BWT6H894
-,2024-09-23,Forvia,FR0000121147
-,2024-09-23,Indivior,GB00BN4HT335
+,2024-09-23,Puig Brands,ES0105777017
+,2024-09-23,Shaftesbury Cap,GB00B62G9D36
-,2024-09-23,Thyssenkrupp,DE0007500001
-,2024-09-23,Ubisoft Ent,FR0000054470
+,2024-07-03,Saipem,IT0005495657
-,2024-07-03,Smurfit WestRock,IE00028FXN24
-,2024-07-02,Kalmar,FI4000571054
+,2024-07-01,Kalmar,FI4000571054
+,2024-06-24,ALK-Abello,DK0061802139
-,2024-06-24,CRH,IE0001827041
-,2024-06-24,Evotec,DE0005664809
-,2024-06-24,Fabege,SE0011166974
+,2024-06-24,FLSmidth,DK0010234467
+,2024-06-24,Fugro,NL00150003E1
+,2024-06-24,Galderma Grp,CH1335392721
-,2024-06-24,Hellofresh,DE000A161408
+,2024-06-24,Kemira,FI0009004824
-,2024-06-24,Kojamo,FI4000312251
+,2024-06-24,Munters Group,SE0009806607
+,2024-06-24,Mycronic,SE0000375115
+,2024-06-24,Neoen,FR0011675362
-,2024-06-24,Remy Cointreau,FR0000130395
-,2024-06-24,SSP Group,GB00BGBN7C04
-,2024-06-24,TeamViewer,DE000A2YN900
-,2024-06-24,Topdanmark,DK0060477503
+,2024-06-24,TUI,DE000TUAG505
+,2024-06-24,Var Energi,NO0011202772
-,2024-06-24,WH Smith,GB00B2PDGW16
+,2024-06-03,Darktrace,GB00BNYK8G86
-,2024-06-03,TUI,DE000TUAG505
-,2024-05-01,Svitzer Group,DK0062616637
+,2024-04-30,Svitzer Group,DK0062616637
-,2024-04-29,Adevinta,NO0010844038
+,2024-04-29,Iveco Group,NL0015000LU4
-,2024-03-18,Billerud AB,SE0000862997
+,2024-03-18,Cargotec,FI4000571013
+,2024-03-18,Comet,CH0360826991
-,2024-03-18,Dowlais Group,GB00BMWRZ071
+,2024-03-18,easyJet,GB00B7KR2P84
-,2024-03-18,Embracer Group,SE0023615885
-,2024-03-18,Encavis,DE0006095003
-,2024-03-18,Harbour Energy,GB00BMBVGQ36
+,2024-03-18,Hemnet Group,SE0015671995
+,2024-03-18,Inficon Holding,CH0011029946
-,2024-03-18,Inmobiliaria Col,ES0139140174
+,2024-03-18,Ipsos,FR0000073298
+,2024-03-18,Unipol,IT0004810054
-,2024-03-18,Watches of CH,GB00BJDQQ870
+,2024-03-05,Banca Sondrio,IT0000784196
-,2024-03-05,LXI,GB00BYQ46T41
-,2024-02-02,Pluxe,NL0015001W49
+,2024-02-01,Pluxe,NL0015001W49
+,2024-02-01,Wallenstam,SE0017780133
-,2024-01-31,Chr Hansen Hldg,DK0060227585
-,2024-01-16,Dechra Pharms,GB0009633180
+,2024-01-16,Raiffeisen Intl,AT0000606306
+,2023-12-18,Adevinta,NO0010844038
-,2023-12-18,Air France KLM,FR001400J770
-,2023-12-18,ams OSRAM,AT0000A3EPA4
+,2023-12-18,Banco Com Port,PTBCP0AM0015
-,2023-12-18,CNH Industrial,NL0010545661
+,2023-12-18,Cranswick,GB0002318888
-,2023-12-18,Energean,GB00BG12Y042
+,2023-12-18,Flutter,IE00BWT6H894
-,2023-12-18,Flutter,IE00BWT6H894
-,2023-12-18,Genus,GB0002074580
-,2023-12-18,Kindred Group,SE0007871645
+,2023-12-18,Monte dei Paschi,IT0005508921
-,2023-12-18,Nel,NO0010081235
-,2023-12-18,Semiconductor,NO0003055501
+,2023-12-18,Swissquote Group,CH0010675863
+,2023-12-18,TAG,DE0008303504
+,2023-12-18,Vallourec,FR0013506730
+,2023-12-18,Zealand Pharma,DK0060257814
-,2023-12-12,Solvay,BE0003470755
+,2023-12-11,Syensq,BE0974464977
-,2023-10-05,OSB Group,GB00BLDRH360
+,2023-10-04,Sandoz Grp,CH1243598427
-,2023-10-03,Mandatum,FI4000552526
+,2023-10-02,Mandatum,FI4000552526
+,2023-09-27,Konecranes,FI0009005870
-,2023-09-27,Simcorp,DK0060495240
+,2023-09-18,Accelleron Inds,CH1169360919
-,2023-09-18,ALK-Abello,DK0061802139
-,2023-09-18,Bavarian Nordic,DK0015998017
+,2023-09-18,Buzzi,IT0001347308
+,2023-09-18,CD Projekt,PLOPTTC00011
-,2023-09-18,Close Brothers,GB0007668071
-,2023-09-18,Corp Acciona Ene,ES0105563003
-,2023-09-18,CRH,IE0001827041
+,2023-09-18,CRH,IE0001827041
+,2023-09-18,Hochtief,DE0006070006
+,2023-09-18,TeamViewer,DE000A2YN900
-,2023-09-18,Telefonica DE,DE000A1J5RX9
-,2023-06-19,Aroundtown,LU1673108939
+,2023-06-19,Azelis Group,BE0974400328
-,2023-06-19,Future PLC,GB00BYZN9041
-,2023-06-19,Hexatronic Group,SE0018040677
+,2023-06-19,InPost,LU2290522684
+,2023-06-19,NKT,DK0010287663
-,2023-06-19,Samhall Norden,SE0009554454
+,2023-06-19,Santander BP,PLBZ00000044
+,2023-06-19,SFS Grp,CH0239229302
