Adjustment,Date,Company,ISIN
-,2025-02-24,Net One Systems,JP3758200004
-,2025-02-20,I-PEX,JP3476210004
-,2025-02-13,T-Gaia,JP3893700009
-,2025-01-31,A&A Material,JP3119800005
-,2025-01-31,A.D.Works Group,JP3160560003
-,2025-01-31,Abist,JP3122480001
-,2025-01-31,Adjuvant Hldg,JP3119620007
-,2025-01-31,Advanex,JP3213400009
-,2025-01-31,AgoraHospitality,JP3561200001
-,2025-01-31,Agr Urban,JP3108170006
-,2025-01-31,AGS Corp,JP3160460006
-,2025-01-31,Ahresty,JP3100600000
-,2025-01-31,Aidma Marketing,JP3105110005
-,2025-01-31,Aigan,JP3101000002
-,2025-01-31,Alpha,JP3126360001
-,2025-01-31,Altech Co,JP3126150006
-,2025-01-31,AltPlus,JP3201800004
-,2025-01-31,Anabuki Kosan,JP3122430006
-,2025-01-31,And Factory,JP3128620006
-,2025-01-31,Anshin Guarantor,JP3127650004
-,2025-01-31,Aoba-BBT,JP3800290003
-,2025-01-31,AP Hldg,JP3160620005
-,2025-01-31,Araya Industrial,JP3125600001
-,2025-01-31,ARM,JP3122410008
-,2025-01-31,Artner,JP3126230006
-,2025-01-31,Artra Group,JP3121920007
-,2025-01-31,ASAX,JP3109900005
-,2025-01-31,Ashimori Ind,JP3118400005
-,2025-01-31,Atled,JP3160930008
-,2025-01-31,Atsugi,JP3120200005
-,2025-01-31,Avantia,JP3337500007
-,2025-01-31,Awa Paper Mfg,JP3127000002
-,2025-01-31,Azuma Shipping,JP3121190007
-,2025-01-31,B-Lot,JP3799770007
-,2025-01-31,Bank of Kochi,JP3288960002
-,2025-01-31,Beaglee,JP3799710003
-,2025-01-31,Benefit Japan,JP3835680004
-,2025-01-31,Besterra,JP3835550009
-,2025-01-31,BP Castrol,JP3836500003
-,2025-01-31,Brass,JP3830600007
-,2025-01-31,C'Bon Cosmetics,JP3347130001
-,2025-01-31,Canare Electric,JP3215300009
-,2025-01-31,Candeal,JP3244530006
-,2025-01-31,CAP,JP3244420000
-,2025-01-31,Career Design Ct,JP3244450007
-,2025-01-31,Casa,JP3204500007
-,2025-01-31,CDS,JP3347040002
-,2025-01-31,CE Holdings,JP3346350006
-,2025-01-31,CE Mgmt IL,JP3639200009
-,2025-01-31,Chimney,JP3512720008
-,2025-01-31,Chuco,JP3520800008
-,2025-01-31,Chuetsu Pulp,JP3513400006
-,2025-01-31,Cominix,JP3181400007
-,2025-01-31,Copro-Holdings,JP3302000009
-,2025-01-31,Create Medic,JP3269800003
-,2025-01-31,Crops,JP3273100002
-,2025-01-31,Cross Mktg Grp,JP3272760004
-,2025-01-31,CVS Bay Area,JP3346250008
-,2025-01-31,Cyberlinks,JP3311540003
-,2025-01-31,Daido Kogyo,JP3489000004
-,2025-01-31,Daidoh,JP3488600002
-,2025-01-31,Daiken Medical,JP3482500000
-,2025-01-31,Daiki Axis,JP3480590003
-,2025-01-31,Daiko Tsusan,JP3482700006
-,2025-01-31,Dainichi,JP3492000009
-,2025-01-31,Dairei,JP3500150002
-,2025-01-31,Daiseki Eco,JP3485700003
-,2025-01-31,Daisue CONSTR,JP3485400000
-,2025-01-31,Daito Bank,JP3486700002
-,2025-01-31,daitobo,JP3487400008
-,2025-01-31,Danto Holdings,JP3506600000
-,2025-01-31,DD Group,JP3499650004
-,2025-01-31,Delica FoodsHldg,JP3549350001
-,2025-01-31,Densan,JP3551410008
-,2025-01-31,DesignOne Japan,JP3548870009
-,2025-01-31,DIJET INDS,JP3485000008
-,2025-01-31,Disruptors,JP3244440008
-,2025-01-31,DKK-Toa,JP3557200007
-,2025-01-31,DLE,JP3548760002
-,2025-01-31,DVx,JP3548710007
-,2025-01-31,Dynic,JP3493000008
-,2025-01-31,e'grand,JP3130350006
-,2025-01-31,EAJ,JP3162660009
-,2025-01-31,Echo Trading,JP3161170000
-,2025-01-31,Econach Holdings,JP3755800004
-,2025-01-31,Eidai,JP3160840009
-,2025-01-31,Encourage Tech,JP3168300006
-,2025-01-31,Endo Lighting,JP3169600008
-,2025-01-31,Enish,JP3164580007
-,2025-01-31,ENOMOTO,JP3165800008
-,2025-01-31,Enshu,JP3168400004
-,2025-01-31,Ensuiko Sugar,JP3168800005
-,2025-01-31,Entrust,JP3153160001
-,2025-01-31,EPCO,JP3167250004
-,2025-01-31,ERI Holdings,JP3130050002
-,2025-01-31,Escrit,JP3162620003
-,2025-01-31,Estelle Holdings,JP3163000007
-,2025-01-31,F-Tech,JP3166950000
-,2025-01-31,FaithNetwork,JP3803030000
-,2025-01-31,Faltec,JP3802660005
-,2025-01-31,Felissimo,JP3802860001
-,2025-01-31,FIG Inc,JP3166650006
-,2025-01-31,First Baking,JP3479400008
-,2025-01-31,First Brothers,JP3802290001
-,2025-01-31,First Juken,JP3802230007
-,2025-01-31,First-corp,JP3802210009
-,2025-01-31,Fuji Elec Indstr,JP3820500001
-,2025-01-31,Fuji Kosan,JP3812800005
-,2025-01-31,Fuji PS,JP3820650004
-,2025-01-31,Fukushima Bank,JP3805100009
-,2025-01-31,Fulltech,JP3828350003
-,2025-01-31,GameWith,JP3282230006
-,2025-01-31,Geechs,JP3263700001
-,2025-01-31,GEOLIVE Group,JP3390360000
-,2025-01-31,GFoot,JP3536900008
-,2025-01-31,Global Japan,JP3345720001
-,2025-01-31,Global Kids,JP3274320005
-,2025-01-31,Global Link,JP3274380009
-,2025-01-31,GMB,JP3385860006
-,2025-01-31,Greens,JP3274090004
-,2025-01-31,Hakuyosha,JP3766600005
-,2025-01-31,Harada Industry,JP3772500009
-,2025-01-31,Haruyama Holding,JP3773600006
-,2025-01-31,Hasegawa,JP3768400008
-,2025-01-31,Hayashikane S,JP3772200006
-,2025-01-31,HDK,JP3844600001
-,2025-01-31,Helios Techno,JP3802700009
-,2025-01-31,Himaraya,JP3793500004
-,2025-01-31,Hiramatsu,JP3796000002
-,2025-01-31,Hokuryo,JP3845670003
-,2025-01-31,Hokushin,JP3843000005
-,2025-01-31,House of Rose,JP3765300003
-,2025-01-31,Howa Machinery,JP3840600005
-,2025-01-31,Hub,JP3770350001
-,2025-01-31,Hurxley,JP3765100007
-,2025-01-31,Hyper,JP3765220003
-,2025-01-31,IBC,JP3104940006
-,2025-01-31,Ichikawa,JP3141200000
-,2025-01-31,Ichiken,JP3141400006
-,2025-01-31,Ichikura,JP3141300008
-,2025-01-31,IchimasaKamaboko,JP3142200009
-,2025-01-31,Idea Consultants,JP3380200000
-,2025-01-31,IFIS Japan,JP3105070001
-,2025-01-31,Ifuji Sangyo,JP3148950003
-,2025-01-31,IK Hldg,JP3101100000
-,2025-01-31,IkegamiTsushinki,JP3132000005
-,2025-01-31,IKK Holdings,JP3101120008
-,2025-01-31,Ikka Hldg,JP3142360001
-,2025-01-31,Imasen Elec Inds,JP3149100004
-,2025-01-31,Impress Holdings,JP3153900000
-,2025-01-31,Innovation Hldg,JP3547690002
-,2025-01-31,Intellex,JP3153150002
-,2025-01-31,Intelligent Wave,JP3153100007
-,2025-01-31,Interworks Confi,JP3306470000
-,2025-01-31,Ishikawa Seisaku,JP3135200008
-,2025-01-31,Ishizuka Glass,JP3136000001
-,2025-01-31,Izutsuya,JP3142400005
-,2025-01-31,JAIC,JP3686150008
-,2025-01-31,Japan Craft Hldg,JP3810600001
