Company,ISIN
Industrial and Commercial Bank of China Ltd,CNE000001P37
Kweichow Moutai Co Ltd,CNE0000018R8
Agricultural Bank of China Ltd,CNE100000RJ0
China Mobile Ltd,CNE1000055G1
Bank of China Ltd,CNE000001N05
China Construction Bank Corp,CNE100000742
PetroChina Co Ltd,CNE1000007Q1
Contemporary Amperex Technology Co Ltd,CNE100003662
BYD Co Ltd,CNE100001526
China Merchants Bank Co Ltd,CNE000001B33
China Life Insurance Co Ltd,CNE000001Q93
Ping An Insurance Group Co of China Ltd,CNE000001R84
CNOOC Ltd,CNE100005980
China Telecom Corp Ltd,CNE100004QG0
China Shenhua Energy Co Ltd,CNE100000767
China Yangtze Power Co Ltd,CNE000001G87
China Petroleum & Chemical Corp,CNE0000018G1
Midea Group Co Ltd,CNE100001QQ5
Postal Savings Bank of China Co Ltd,CNE100003PZ4
Semiconductor Manufacturing International Corp,CNE1000041W8
Wuliangye Yibin Co Ltd,CNE000000VQ8
Bank of Communications Co Ltd,CNE1000000S2
Foxconn Industrial Internet Co Ltd,CNE1000031P3
Industrial Bank Co Ltd,CNE000001QZ7
Zijin Mining Group Co Ltd,CNE100000B24
CITIC Securities Co Ltd,CNE000001DB6
East Money Information Co Ltd,CNE100000MD4
Hygon Information Technology Co Ltd,CNE100005PT2
China Citic Bank Corp Ltd,CNE1000000R4
Cambricon Technologies Corp Ltd,CNE1000041R8
Luxshare Precision Industry Co Ltd,CNE100000TP3
Shenzhen Mindray Bio-Medical Electronics Co Ltd,CNE100003G67
Jiangsu Hengrui Pharmaceuticals Co Ltd,CNE0000014W7
Shanghai Pudong Development Bank Co Ltd,CNE0000011B7
Hangzhou Hikvision Digital Technology Co Ltd,CNE100000PM8
China Pacific Insurance Group Co Ltd,CNE1000008M8
People's Insurance Company Group of China Ltd,CNE100003F27
Beijing-Shanghai High Speed Railway Co Ltd,CNE100003RV9
NAURA Technology Group Co Ltd,CNE100000ML7
Shanxi Xinghuacun Fen Wine Factory Co Ltd,CNE000000DH5
Haier Smart Home Co Ltd,CNE000000CG9
Gree Electric Appliances Inc of Zhuhai,CNE0000001D4
Foshan Haitian Flavouring and Food Co Ltd,CNE100001SL2
China State Construction Engineering Corp Ltd,CNE100000F46
Ping An Bank Co Ltd,CNE000000040
China United Network Communications Ltd,CNE000001CS2
Wanhua Chemical Group Co Ltd,CNE0000016J9
COSCO Shipping Holdings Co Ltd,CNE100000601
China Everbright Bank Co Ltd,CNE100000SL4
China National Nuclear Power Co Ltd,CNE1000022N7
Crrc Corp Ltd,CNE100000CP9
Muyuan Foods Co Ltd,CNE100001RQ3
SAIC Motor Corp Ltd,CNE000000TY6
ZTE Corp,CNE000000TK5
S.F. Holding Co Ltd,CNE100000L63
Shenzhen Inovance Technology Co Ltd,CNE100000V46
Shaanxi Coal Industry Co Ltd,CNE100001T64
NARI Technology Co Ltd,CNE000001G38
Seres Group Co Ltd,CNE1000028B9
Great Wall Motor Co Ltd,CNE1000018V8
Will Semiconductor Co Ltd Shanghai,CNE100002XM8
WuXi AppTec Co Ltd,CNE1000031K4
Yihai Kerry Arawana Holdings Co Ltd,CNE1000048D3
Luzhou Laojiao Co Ltd,CNE000000GF2
CGN Power Co Ltd,CNE100003N43
Inner Mongolia Yili Industrial Group Co Ltd,CNE000000JP5
China Minsheng Banking Corp Ltd,CNE0000015Y0
China Securities Co Ltd,CNE1000031T5
Beijing Kingsoft Office Software Inc,CNE100003PM2
BOE Technology Group Co Ltd,CNE0000016L5
Hithink RoyalFlush Information Network Co Ltd,CNE100000JG3
Bank of Jiangsu Co Ltd,CNE100002G76
Bank of Ningbo Co Ltd,CNE1000005P7
Huaneng Lancang River Hydropower Inc,CNE100002T71
China Merchants Securities Co Ltd,CNE100000HK9
Huatai Securities Co Ltd,CNE100000LQ8
Sany Heavy Industry Co Ltd,CNE000001F70
Guotai Junan Securities Co Ltd,CNE1000022F3
Lens Technology Co Ltd,CNE100001YW7
Baoshan Iron & Steel Co Ltd,CNE0000015R4
Fuyao Glass Industry Group Co Ltd,CNE000000230
CMOC Group Ltd,CNE100001NR0
China CSSC Holdings Ltd,CNE000000W05
Sungrow Power Supply Co Ltd,CNE1000018M7
China Railway Group Ltd,CNE100000866
China Communications Construction Co Ltd,CNE100001FN5
China Galaxy Securities Co Ltd,CNE100002FG7
Advanced Micro-Fabrication Equipment Inc China,CNE100003MM9
Daqin Railway Co Ltd,CNE000001NG4
New China Life Insurance Company Ltd,CNE1000019Y0
iFLYTEK Co Ltd,CNE100000B81
Shanghai International Port Group Co Ltd,CNE0000013N8
Weichai Power Co Ltd,CNE1000000D4
Bank of Shanghai Co Ltd,CNE100002FM5
Aier Eye Hospital Group Co Ltd,CNE100000GR6
Zhongji Innolight Co Ltd,CNE100001CY9
China Coal Energy Co Ltd,CNE100000957
Zhejiang Sanhua Intelligent Controls Co Ltd,CNE000001M22
Avic Shenyang Aircraft Co Ltd,CNE000000MH6
LONGi Green Energy Technology Co Ltd,CNE100001FR6
China Tourism Group Duty Free Corp Ltd,CNE100000G29
China International Capital Corp Ltd,CNE1000048J0
Bank of Beijing Co Ltd,CNE100000734
Zhangzhou Pientzehuang Pharmaceutical Co Ltd,CNE000001F21
Shenwan Hongyuan Group Co Ltd,CNE100002FD4
China Three Gorges Renewables Group Co Ltd,CNE1000051F2
Range Intelligent Computing Technology Group Co Ltd,CNE100001Z58
