Company,ISIN
Tencent Holdings Ltd,KYG875721634
Industrial and Commercial Bank of China Ltd,CNE1000003G1
Alibaba Group Holding Ltd,KYG017191142
China Mobile Ltd,HK0941009539
Bank of China Ltd,CNE1000001Z5
China Construction Bank Corp,CNE1000002H1
HSBC Holdings PLC,GB0005405286
PetroChina Co Ltd,CNE1000003W8
Xiaomi Corp,KYG9830T1067
BYD Co Ltd,CNE100000296
China Merchants Bank Co Ltd,CNE1000002M1
China Life Insurance Co Ltd,CNE1000002L3
Meituan,KYG596691041
Ping An Insurance Group Co of China Ltd,CNE1000003X6
CNOOC Ltd,HK0883013259
China Shenhua Energy Co Ltd,CNE1000002R0
China Petroleum & Chemical Corp,CNE1000002Q2
AIA Group Ltd,HK0000069689
Semiconductor Manufacturing International Corp,KYG8020E1199
JD.Com Inc,KYG8208B1014
NetEase Inc,KYG6427A1022
Zijin Mining Group Co Ltd,CNE100000502
Hong Kong Exchanges and Clearing Ltd,HK0388045442
Nongfu Spring Co Ltd,CNE100004272
Trip.com Group Ltd,KYG9066F1019
China Unicom Hong Kong Ltd,HK0000049939
BOC Hong Kong Holdings Ltd,HK2388011192
CITIC Ltd,HK0267001375
Haier Smart Home Co Ltd,CNE1000048K8
ANTA Sports Products Ltd,KYG040111059
Baidu Inc,KYG070341048
Kuaishou Technology,KYG532631028
Li Auto Inc,KYG5479M1050
Sun Hung Kai Properties Ltd,HK0016000132
Hang Seng Bank Ltd,HK0011000095
Techtronic Industries Co Ltd,HK0669013440
WuXi AppTec Co Ltd,CNE100003F19
China Resources Land Ltd,KYG2108Y1052
Geely Automobile Holdings Ltd,KYG3777B1032
CLP Holdings Ltd,HK0002007356
Lenovo Group Ltd,HK0992009065
MTR Corp Ltd,HK0066009694
China Overseas Land & Investment Ltd,HK0688002218
CK Hutchison Holdings Ltd,KYG217651051
Sands China Ltd,KYG7800X1079
Galaxy Entertainment Group Ltd,HK0027032686
CK Infrastructure Holdings Ltd,BMG2178K1009
BYD Electronic International Co Ltd,HK0285041858
CK Asset Holdings Ltd,KYG2177B1014
China Hongqiao Group Ltd,KYG211501005
JD Health International Inc,KYG5074A1004
Hong Kong and China Gas Co Ltd,HK0003000038
Hansoh Pharmaceutical Group Company Ltd,KYG549581067
Power Assets Holdings Ltd,HK0006000050
Budweiser Brewing Company APAC Ltd,KYG1674K1013
Henderson Land Development Co Ltd,HK0012000102
Sunny Optical Technology Group Co Ltd,KYG8586D1097
WuXi Biologics (Cayman) Inc,KYG970081173
China Resources Power Holdings Co Ltd,HK0836012952
Alibaba Health Information Technology Ltd,BMG0171K1018
Link Real Estate Investment Trust,HK0823032773
Shenzhou International Group Holdings Ltd,KYG8087W1015
Haidilao International Holding Ltd,KYG4290A1013
China Resources Beer Holdings Co Ltd,HK0291001490
Chow Tai Fook Jewellery Group Ltd,KYG211461085
WH Group Ltd,KYG960071028
Longfor Group Holdings Ltd,KYG5635P1090
China Resources Mixc Lifestyle Services Ltd,KYG2122G1064
Orient Overseas (International) Ltd,BMG677491539
China Mengniu Dairy Co Ltd,KYG210961051
Tingyi (Cayman Islands) Holding Corp,KYG8878S1030
Sino Biopharmaceutical Ltd,KYG8167W1380
Sinopharm Group Co Ltd,CNE100000FN7
New Oriental Education & Technology Group Inc,KYG6470A1168
Wharf Real Estate Investment Company Ltd,KYG9593A1040
ENN Energy Holdings Ltd,KYG3066L1014
CSPC Pharmaceutical Group Ltd,HK1093012172
Li Ning Co Ltd,KYG5496K1242
Xinyi Glass Holdings Ltd,KYG9828G1082
Hang Lung Properties Ltd,HK0101000591
Xinyi Solar Holdings Ltd,KYG9829N1025
Zhongsheng Group Holdings Ltd,KYG9894K1085
Hengan International Group Company Ltd,KYG4402L1510
