Company,ISIN
LVMH Moet Hennessy Louis Vuitton SE,FR0000121014
SAP SE,DE0007164600
Hermes International SCA,FR0000052292
Novo Nordisk A/S,DK0062498333
ASML Holding NV,NL0010273215
Roche Holding AG,CH0012032048
Nestle SA,CH0038863350
Novartis AG,CH0012005267
AstraZeneca PLC,GB0009895292
Shell PLC,GB00BP6MXD84
HSBC Holdings PLC,GB0005405286
L'Oreal SA,FR0000120321
Siemens AG,DE0007236101
Deutsche Telekom AG,DE0005557508
Industria de Diseno Textil SA,ES0148396007
Schneider Electric SE,FR0000121972
Unilever PLC,GB00B10RZP78
EssilorLuxottica SA,FR0000121667
TotalEnergies SE,FR0000120271
Sanofi SA,FR0000120578
Airbus SE,NL0000235190
Allianz SE,DE0008404005
Christian Dior SE,FR0000130403
Prosus NV,NL0013654783
UBS Group AG,CH0244767585
Rio Tinto PLC,GB0007188757
Safran SA,FR0000073272
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George,FR0000120073
Abb Ltd,CH0012221716
Compagnie Financiere Richemont SA,CH0210483332
Ferrari NV,NL0011585146
Anheuser-Busch Inbev SA,BE0974293251
Zurich Insurance Group AG,CH0011075394
Banco Santander SA,ES0113900J37
Investor AB,SE0015811963
RELX PLC,GB00B2B0DG97
Iberdrola SA,ES0144580Y14
BP PLC,GB0007980591
AXA SA,FR0000120628
Intesa Sanpaolo SpA,IT0000072618
BNP Paribas SA,FR0000131104
British American Tobacco plc,GB0002875804
Atlas Copco AB,SE0017486889
UniCredit SpA,IT0005239360
London Stock Exchange Group PLC,GB00B0SWJX34
GSK plc,GB00BN7SWP63
Banco Bilbao Vizcaya Argentaria SA,ES0113211835
Enel SpA,IT0003128367
Muenchener Rueckversicherungs-Gesellschaft in Muenchen AG,DE0008430026
Vinci SA,FR0000125486
Rolls-Royce Holdings PLC,GB00B63H8491
Siemens Healthineers AG,DE000SHL1006
Equinor ASA,NO0010096985
Volvo AB,SE0000115446
Merck KGaA,DE0006599905
Diageo PLC,GB0002374006
Holcim AG,CH0012214059
Compass Group PLC,GB00BD6K4575
Mercedes-Benz Group AG,DE0007100000
National Grid PLC,GB00BDR05C01
Adyen NV,NL0012969182
Dassault Systemes SE,FR0014003TT8
Barclays PLC,GB0031348658
Bayerische Motoren Werke AG,DE0005190003
ING Groep NV,NL0011821202
Universal Music Group NV,NL0015000IY2
Volkswagen AG,DE0007664039
Infineon Technologies AG,DE0006231004
Assicurazioni Generali SpA,IT0000062072
Lloyds Banking Group PLC,GB0008706128
3i Group PLC,GB00B1YW4409
Glencore PLC,JE00B4T3BW64
Credit Agricole SA,FR0000045072
Compagnie de Saint Gobain SA,FR0000125007
Swiss Re AG,CH0126881561
Danone SA,FR0000120644
DSV A/S,DK0060079531
CaixaBank SA,ES0140609019
Deutsche Boerse AG,DE0005810055
Siemens Energy AG,DE000ENER6Y0
Eni SpA,IT0003132476
BAE Systems PLC,GB0002634946
Heineken NV,NL0000009165
Lonza Group AG,CH0013841017
Adidas AG,DE000A1EWWW0
Deutsche Post AG,DE0005552004
NatWest Group PLC,GB00BM8PJY71
BASF SE,DE000BASF111
Reckitt Benckiser Group PLC,GB00B24CGK77
Nordea Bank Abp,FI4000297767
Alcon AG,CH0432492467
Haleon PLC,GB00BMX86B70
Experian PLC,GB00B19NLV48
Wolters Kluwer NV,NL0000395903
Sika AG,CH0418792922
Partners Group Holding AG,CH0024608827
Anglo American PLC,GB00B1XZS820
Engie SA,FR0010208488
Rheinmetall AG,DE0007030009
EQT AB,SE0012853455
Stellantis NV,NL00150001Q9
Givaudan SA,CH0010645932
Deutsche Bank AG,DE0005140008
argenx SE,NL0010832176
Thales SA,FR0000121329
Ucb SA,BE0003739530
Standard Chartered PLC,GB0004082847
Kering SA,FR0000121485
Henkel AG & Co KGaA,DE0006048432
Kbc Groep NV,BE0003565737
Daimler Truck Holding AG,DE000DTR0CK8
Skandinaviska Enskilda Banken AB,SE0000148884
Dnb Bank ASA,NO0010161896
Beiersdorf AG,DE0005200000
Aena SME SA,ES0105046009
Amadeus IT Group SA,ES0109067019
Ferrovial SE,NL0015001FS8
Assa Abloy AB,SE0007100581
E On Se,DE000ENAG999
Koninklijke Ahold Delhaize NV,NL0011794037
Schindler Holding AG,CH0024638196
Tesco PLC,GB00BLGZ9862
Societe Generale SA,FR0000130809
